"NO","名称","名称_カナ","住所","方書","緯度","経度","電話番号","市区町村コード","都道府県名","市区町村名","災害種別_洪水","災害種別_崖崩れ、土石流及び地滑り","災害種別_高潮","災害種別_地震","災害種別_津波","災害種別_大規模な火事","災害種別_内水氾濫","災害種別_火山現象","指定避難所との重複","想定収容人数","対象となる町会・自治会","URL","備考"
"000025","加賀市立作見小学校運動場","カガシリツサクミショウガッコウウンドウジョウ","石川県加賀市作見町ナ１５４","","36.324744","136.353883","0761-74-0164","172065","石川県","加賀市","1","1","","1","1","1","1","","","5387","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000026","中央公園","チュウオウコウエン","石川県加賀市山田町リ２４５－２","","36.324605","136.331779","0761-73-1220","172065","石川県","加賀市","1","1","","1","1","1","1","","","－","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000027","加賀市立金明小学校運動場","カガシリツキンメイショウガッコウウンドウジョウ","石川県加賀市塩浜町１０４","","36.350272","136.333481","0761-74-1861","172065","石川県","加賀市","1","1","","1","1","1","1","","","1613","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000028","加賀市立湖北小学校運動場","カガシリツコホクショウガッコウウンドウジョウ","石川県加賀市柴山町ひ９２－１","","36.358187","136.367865","0761-74-0369","172065","石川県","加賀市","1","1","","1","1","1","1","","","2972","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000029","加賀市立動橋小学校運動場","カガシリツイブリハシショウガッコウウウンドウジョウ","石川県加賀市動橋町ヘ１－１","","36.329699","136.389845","0761-74-1524","172065","石川県","加賀市","","1","","1","1","1","1","","","2900","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000030","加賀市立東和中学校運動場","カガシリツトウワチュウガッコウウンドウジョウ","石川県加賀市動橋町ネ５４－１","","36.324584","136.381487","0761-74-0279","172065","石川県","加賀市","","1","","1","1","1","1","","","5319","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000031","石川県立加賀高等学校運動場","イシカワケンリツカガコウトウガッコウウンドウジョウ","石川県加賀市動橋町ム５３－１","","36.330329","136.377714","0761-74-5044","172065","石川県","加賀市","","1","","1","1","1","1","","","8999","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000032","動橋グラウンド","イブリハシグラウンド","石川県加賀市動橋町ナ１４－１","","36.329023","136.3809","","172065","石川県","加賀市","","1","","1","1","1","1","","","3030","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000033","加賀市立分校小学校運動場","カガシリツブンギョウショウガッコウウンドウジョウ","石川県加賀市打越町ニ２２","","36.329412","136.399866","0761-74-1550","172065","石川県","加賀市","","1","","1","1","1","1","","","3536","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000034","加賀市立黒崎小学校運動場","カガシリツクロサキショウガッコウウンドウジョウ","石川県加賀市黒崎町め２３","","36.334528","136.295563","0761-75-2019","172065","石川県","加賀市","1","1","","1","1","1","1","","","2455","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000035","加賀市立橋立小中学校運動場","カガシリツハシタテショウチュウガッコウウンドウジョウ","石川県加賀市小塩町ろ１","","36.347808","136.313605","0761-75-2111;0761-75-2112","172065","石川県","加賀市","1","1","","1","1","1","1","","","4485","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000036","橋立自然公園","ハシタテシゼンコウエン","石川県加賀市橋立町井３４３","","36.348745","136.306244","","172065","石川県","加賀市","1","1","","1","1","1","1","","","－","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000037","加賀市立三木小学校運動場","カガシリツミキショウガッコウウンドウジョウ","石川県加賀市三木町ニ９８－１","","36.293399","136.284961","0761-72-1773","172065","石川県","加賀市","","1","","1","1","1","1","","","2120","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000038","加賀市立三谷小学校運動場","カガシリツミタニショウガッコウウンドウジョウ","石川県加賀市直下町ニ丙７３","","36.283064","136.32417","0761-72-1771","172065","石川県","加賀市","1","1","","1","1","1","1","","","3114","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000039","加賀市立南郷小学校運動場","カガシリツナンゴウショウガッコウウンドウジョウ","石川県加賀市吸坂町ヤ２６","","36.304612","136.337349","0761-72-1894","172065","石川県","加賀市","1","1","","1","1","1","1","","","2279","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000040","加賀市立緑丘小学校運動場","カガシリツミドリガオカショウガッコウウンドウジョウ","石川県加賀市大聖寺瀬越町塩屋境山１－１","","36.295495","136.256133","0761-73-8003","172065","石川県","加賀市","1","1","","1","1","1","1","","","3103","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000041","山中温泉ゆけむり健康村駐車場","ヤマナカオンセンユケムリケンコウムラチュウシャジョウ","石川県加賀市山中温泉こおろぎ町イ１９","","36.238207","136.367585","0761-78-5546","172065","石川県","加賀市","1","","","1","1","1","1","","","1337","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000042","加賀市立山中小学校運動場","カガシリツヤマナカショウガッコウウンドウジョウ","石川県加賀市山中温泉上野町ル１５－９","","36.252486","136.367896","0761-78-0441","172065","石川県","加賀市","1","","","1","1","1","1","","","6255","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000043","山中球場","ヤマナカキュウジョウ","石川県加賀市山中温泉東桂木町ヌ１１－２","","36.255173","136.373006","","172065","石川県","加賀市","1","1","","1","1","1","1","","","3565","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000044","加賀市立山中中学校運動場","カガシリツヤマナカチュウガッコウウンドウジョウ","石川県加賀市山中温泉上原町ト甲１-１","","36.253378","136.36547","0761-78-1134","172065","石川県","加賀市","1","1","","1","1","1","1","","","3917","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000045","加賀市立河南小学校運動場","カガシリツカワミナミショウガッコウウンドウジョウ","石川県加賀市山中温泉中田町ニ２５－１","","36.269619","136.356826","0761-78-0836","172065","石川県","加賀市","1","1","","1","1","1","1","","","2067","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000046","山中健民体育館駐車場","ヤマナカケンミンタイイクカンチュウシャジョウ","石川県加賀市山中温泉加美谷台２丁目２","","36.255297","136.36564","0761-78-5510","172065","石川県","加賀市","1","1","","1","1","1","1","","","909","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000047","加賀市立河南保育園運動場","カガシリツカワミナミホクエンウンドウジョウ","石川県加賀市山中温泉長谷田町ロ３４１","","36.267749","136.358275","0761-78-1542","172065","石川県","加賀市","1","1","","1","1","1","1","","","667","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000048","エネックス株式会社加賀工場用地の一部","エネックスカブシキガイシャコウジョウヨウチノイチブ","石川県加賀市山中温泉菅谷町ニ３２","","36.229891","136.362524","","172065","石川県","加賀市","1","","","1","1","1","1","","","300","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000049","旧中津原保育園運動場","キュウナカツハラホイクエン","石川県加賀市山中温泉中津原町ハ５-１","","36.262175","136.397347","","172065","石川県","加賀市","1","1","","1","1","1","1","","","158","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000050","東谷農村公園","ヒガシタニノウソンコウエン","石川県加賀市山中温泉中津原町ち１","","36.26158","136.397466","","172065","石川県","加賀市","1","","","1","1","1","1","","","1210","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000051","東谷生活改善センター広場","ヒガシタニセイカツカイゼンセンター","石川県加賀市山中温泉荒谷町ト２０","","36.249883","136.429275","","172065","石川県","加賀市","1","","","1","1","1","1","","","151","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
