"市区町村コード","NO","都道府県名","市区町村名","名称","名称_カナ","住所","方書","緯度","経度","設置位置","電話番号","法人番号","団体名","利用可能曜日","開始時間","終了時間","利用可能日時特記事項","URL","備考"
"172065","000011","石川県","加賀市","橋立小学校","ハシタテショウガッコウ","石川県加賀市小塩町ろ１","","36.3493","136.3139","小運動場入口","0761-75-2111","","加賀市","月;火;水;木;金","08:15","16:45","","",""
"172065","000012","石川県","加賀市","緑丘小学校","ミドリガオカショウガッコウ","石川県加賀市大聖寺瀬越町塩屋境山１－１","","36.2953","136.2554","体育館","0761-73-8003","","加賀市","月;火;水;木;金","08:15","16:45","","",""
"172065","000013","石川県","加賀市","大聖寺警察署","ダイショウジケイサツショ","石川県加賀市大聖寺東町１丁目１","","36.3042","136.3179","1階","0761-72-0110","","石川県","","","","365日24時間態勢","",""
"172065","000014","石川県","加賀市","加賀市市民会館","カガシシミンカイカン","石川県加賀市大聖寺南町二１１－５","","36.3018","136.3151","","","","加賀市","月;火;水;木;金","08:15","16:45","","",""
"172065","000015","石川県","加賀市","加賀聖城高等学校","カガセイジョウコウトウガッコウ","石川県加賀市大聖寺馬場町２８","","36.3058","136.3072","事務室内戸棚","0761-72-0297","","石川県","月;火;水;木;金","08:15","16:45","","",""
"172065","000016","石川県","加賀市","大聖寺なでしこの家","ダイショウジナデシコノイエ","石川県加賀市大聖寺番場町２９番４","","36.309645","136.309322","事務所","0761-75-7562","","","","","","","",""
"172065","000017","石川県","加賀市","セレモニー会館タカダ","セレモニーカイカンタカダ","石川県加賀市大聖寺永町５６","","36.3108","136.3202","","0761-72-1275","","","","","","","",""
"172065","000018","石川県","加賀市","慈妙院加賀","ジミョウインカガ","石川県加賀市大聖寺東町１－３０","","36.3054","136.3192","2階医務室前","0761-73-3317","","","","","","","",""
"172065","000019","石川県","加賀市","太陽の丘","タイヨウノオカ","石川県加賀市深田町ロ２番地１","","36.3427","136.3028","2階診察室","0761-75-2100","","","","","","","",""
"172065","000020","石川県","加賀市","石川県立錦城特別支援学校","イシカワケンリツキンジョウトクベツシエンガッコウ","石川県加賀市豊町イ１２０の１","","36.3252","136.3108","保健室前廊下","0761-73-3101","","石川県","月;火;水;木;金","08:15","16:45","","",""
"172065","000021","石川県","加賀市","石川県立錦城学園","イシカワケンリツキンジョウガクエン","石川県加賀市高尾町ヌ１－甲","","36.324907","136.313368","医務室","0761-72-0069","","石川県","月;火;水;木;金","08:15","16:45","","",""
"172065","000022","石川県","加賀市","なんごう　えがお","ナンゴウ　エガオ","石川県加賀市上川崎町オ１２０番地","","36.3076","136.3346","","0761-75-7815","","","","","","","",""
"172065","000023","石川県","加賀市","加賀市農業共同組合（西支店）","カガシノウギョウキョウドウクミアイ　ニシシテン","石川県加賀市大聖寺上福田町ハ１４番地１","","36.311604","136.312971","","0761-73-0443","","","","","","","",""
"172065","000024","石川県","加賀市","加賀市農業共同組合（駅前出張所）","カガシノウギョウキョウドウクミアイ　エキマエシュッチョウジョ","石川県加賀市大聖寺上福田町ハ１４番地１","","36.303495","136.313832","","0761-72-1763","","","","","","","",""
"172065","000025","石川県","加賀市","イオン加賀の里店","イオンカガノサト","石川県加賀市上河崎町４７－１","","36.3067","136.3474","サービスカウンター・警備室","0761-72-8827","","","","","","","",""
"172065","000026","石川県","加賀市","夢屋加賀店","ユメヤカガテン","石川県加賀市中代町３９６－１","","36.303812","136.347596","景品カウンター横","090-1122-7652","","","","","","","",""
"172065","000027","石川県","加賀市","㈱ダイナム信頼の森　加賀店","カブシキガイシャダイナムシンライノモリ　カガテン","石川県加賀市上河崎町５０番地１","","36.308261","136.346062","店内入口　","0761-75-1770","","","","","","","",""
"172065","000028","石川県","加賀市","㈱ダイナム　加賀店","カブシキガイシャダイナムカガテン","石川県加賀市上河崎町９１番地１","","36.308048","136.344608","ホール内","","","","","","","","",""
"172065","000029","石川県","加賀市","パナソニック溶接システム加賀㈱","パナソニックヨウセツシステムカガカブシキガイシャ","石川県加賀市熊坂町タ甲１－１","","36.295323","136.298947","1号棟2階 健康管理室前","0761-73-1151","","","","","","","",""
"172065","000030","石川県","加賀市","APAホテル加賀大聖寺駅前","アパホテルカガダイショウジエキマエ","石川県加賀市熊坂町イ２２６－４","","36.300865","136.31447","1階フロント","0761-73-4111","","","","","","","",""
"172065","000031","石川県","加賀市","和幸理研株式会社","ワコウリケンカブシキガイシャ","石川県加賀市永井町８８－１－２","","36.2891","136.2697","第1工場 1階 事務所前","0761-73-8181","","","","","","","",""
"172065","000032","石川県","加賀市","福井鋲螺㈱永井工場","フクイビョウラカブシキガイシャナガイコウジョウ","石川県加賀市永井町５１字３７番地２外","","36.2892","136.2699","1階","0761-73-8788","","","","","","","",""
"172065","000033","石川県","加賀市","福井鋲螺㈱加賀工場","フクイビョウラカブシキガイシャカガコウジョウ","石川県加賀市高尾町い６４２","","36.3352","136.3171","工場中央救護室前","0761-76-6661;0761-72-5666","","","","","","","",""
"172065","000034","石川県","加賀市","株式会社江沼チヱン製作所","カブシキガイシャエヌマチヱンセイサクジョ","石川県加賀市上河崎町３００番地","","36.3023","136.3469","本社工場","0761-72-0286","","","","","","","",""
"172065","000035","石川県","加賀市","加賀村田株式会社","カガムラタカブシキガイシャ","石川県加賀市南郷町ソ壱番地ノ一","","36.3056","136.3291","食堂","0761-73-2121","","","","","","","",""
"172065","000036","石川県","加賀市","株式会社　月星製作所","カブシキガイシャ　ツキボシセイサクジョ","石川県加賀市永井町７１－１－１","","36.2887","136.2632","永井工場 2号棟","0761-73-8897","","","","","","","",""
"172065","000037","石川県","加賀市","㈱ソディック加賀事業所","カブシキガイシャソディックカガジギョウショ","石川県加賀市宮町カ１－１","","36.3377","136.3161","第1工場・第8工場","0761-75-2000","","","","","","","",""
"172065","000038","石川県","加賀市","ナイテック・プレジョン・アンド・テクノロジー㈱","ナイテック　プレジョン　アンド　テクノロジーカブシキガイシャ","石川県加賀市上木町ロ４９－１","","36.3047","136.2839","守衛室","0761-73-3970","","","","","","","",""
"172065","000039","石川県","加賀市","大同工業㈱本社工場","ダイドウコウギョウカブシキガイシャホンシャコウジョウ","石川県加賀市熊坂町イ１９７番地","","36.299012","136.31291","正門守衛所・厚生館受付前","0761-72-6024","","","","","","","",""
"172065","000040","石川県","加賀市","大同工業㈱福田工場","ダイドウコウギョウカブシキガイシャフクダコウジョウ","石川県加賀市大聖寺下福田町ソ２０","","36.307867","136.288226","守衛所","0761-72-6024","","","","","","","",""
"172065","000041","石川県","加賀市","加賀市医療センター","カガシイリョウセンター","石川県加賀市作見町りー３６","","36.3173","136.3521","","","","加賀市","","","","365日24時間態勢","",""
"172065","000042","石川県","加賀市","セミナーハウスあいりす","セミナーハウスアイリス","石川県加賀市山田町リ２４３","","36.3208","136.3305","1階フロント","0761-73-5524","","加賀市","月;火;水;木;金","08:15","16:45","","",""
"172065","000043","石川県","加賀市","片山津中学校","カタヤマヅチュウガッコウ","石川県加賀市潮津町レ１","","36.3513","136.3495","体育館通路","0761-74-1154","","加賀市","月;火;水;木;金","08:15","16:45","","",""
"172065","000044","石川県","加賀市","東和中学校","トウワチュウガッコウ","石川県加賀市動橋町ネ５４","","36.325273","136.381768","第2体育館","0761-74-0279","","加賀市","月;火;水;木;金","08:15","16:45","","",""
"172065","000045","石川県","加賀市","分校小学校","ブンギョウショウガッコウ","石川県加賀市打越町ニ２２","","36.3294","136.4008","体育館","0761-74-1550","","加賀市","月;火;水;木;金","08:15","16:45","","",""
"172065","000046","石川県","加賀市","動橋小学校","イブリハシジョウガッコウ","石川県加賀市動橋町ヘ１","","36.329838","136.389136","体育館","0761-74-1524","","加賀市","月;火;水;木;金","08:15","16:45","","",""
"172065","000047","石川県","加賀市","湖北小学校","コホクジョウガッコウ","石川県加賀市柴山町ひ９２","","36.357865","136.367761","体育館玄関","","","加賀市","月;火;水;木;金","08:15","16:45","","",""
"172065","000048","石川県","加賀市","片山津小学校","カタヤマヅショウガッコウ","石川県加賀市片山津町ス丙２１","","36.3398","136.3665","講堂玄関","0761-74-1159","","加賀市","月;火;水;木;金","08:15","16:45","","",""
"172065","000049","石川県","加賀市","作見小学校","サクミショウガッコウ","石川県加賀市作見町ナ１５４","","36.3233","136.3538","第2体育館入口","0761-74-0164","","加賀市","月;火;水;木;金","08:15","16:45","","",""
"172065","000050","石川県","加賀市","金明小学校","キンメイショウガッコウ","石川県加賀市塩浜町１０４","","36.3496","136.3336","体育館玄関","0761-74-1861","","加賀市","月;火;水;木;金","08:15","16:45","","",""
"172065","000051","石川県","加賀市","加賀高等学校","カガコウトウガッコウ","石川県加賀市動橋町ム５３","","36.3311","136.3784","職員玄関","0761-74-5044","","石川県","月;火;水;木;金","08:15","16:45","","",""
"172065","000052","石川県","加賀市","片山津温泉総湯","カタヤマヅオンセンソウユ","石川県加賀市片山津温泉乙６５－２","","36.345325","136.368949","街湯１階受付","0761-74-0550","","","","","","","",""
"172065","000053","石川県","加賀市","松が丘町民会館","マツガオカチョウミンカイカン","石川県加賀市松が丘１丁目３０－１","","36.3256","136.3412","会館 玄関内","0761-73-2954","","","","","","","",""
"172065","000054","石川県","加賀市","湖城町民会館","コジョウチョウミンカイカン","石川県加賀市湖城町２丁目２８６","","36.337876","136.359678","会館内","0761-74-6176","","","","","","","",""
"172065","000055","石川県","加賀市","加賀観光ホテル","カガカンコウホテル","石川県加賀市片山津温泉ウ４１","","36.3433","136.3711","フロント前","0761-74-1101","","","","","","","",""
"172065","000056","石川県","加賀市","ホテルアローレ","ホテルアローレ","石川県加賀市柴山町と５－１","","36.3585","136.3762","フロント","0761-75-8000","","","","","","","",""
"172065","000057","石川県","加賀市","佳水郷","カスイキョウ","石川県加賀市潮津町イ７２－１","","36.3499","136.3631","2階フロント・2階大浴場前・1階事務所","0761-74-1200","","","","","","","",""
"172065","000058","石川県","加賀市","季がさね","トキガサネ","石川県加賀市片山津温泉乙３０","","36.345778","136.366218","ロビー1階","0761-74-0770","","","","","","","",""
"172065","000059","石川県","加賀市","ダイヤモンド片山津温泉ソサエティ","ダイヤモンドカタヤマヅオンセンソサエティ","石川県加賀市中島町よ４－５","","36.3441","136.3885","フロントクローク","0761-74-5820","","","","","","","",""
"172065","000060","石川県","加賀市","ホテル翠湖","ホテルスイコ","石川県加賀市柴山町し５０","","36.3549","136.3716","2階ロビー","0761-74-5588","","","","","","","",""
"172065","000061","石川県","加賀市","ケアハウス和","ケアハウスヤワラギ","石川県加賀市片山津町ム３０番地","","36.343434","136.372749","1階ロビー","0761-75-3500","","","","","","","",""
"172065","000062","石川県","加賀市","レイクサイド楽","レイクサイドジョイ","石川県加賀市柴山町も２１－２","","36.35774","136.363069","風除室","","","","","","","","",""
"172065","000063","石川県","加賀市","加賀市農業共同組合（本店）","カガシノウギョウキョウドウクミアイ　ホンテン","石川県加賀市作見町ホ１０番地１","","36.317504","136.358028","","0761-73-1313","","","","","","","",""
"172065","000064","石川県","加賀市","加賀市農業共同組合（中央支店）","カガシノウギョウキョウドウクミアイ　チュウオウシテン","石川県加賀市作見町ホ３４番地１","","36.3167","136.3582","","0761-73-3931","","","","","","","",""
"172065","000065","石川県","加賀市","加賀市農業共同組合（JAグリーン元気村）","カガシノウギョウキョウドウクミアイ　ジェーエーグリーンゲンキムラ","石川県加賀市作見町ホ１０番地１","","36.317472",", 136.357895","","0761-75-7100","","","","","","","",""
"172065","000066","石川県","加賀市","加賀市農業共同組合（東支店）","カガシニウギョウキョウドウクアイ　ヒガシシテン","石川県加賀市分校町ヘ２０番地１","","36.32897","136.401359","","0761-74-1562","","","","","","","",""
"172065","000067","石川県","加賀市","加賀市農業共同組合（北支店）","カガシノウギョウキョウドウクミアイ　キタシテン","石川県加賀市篠原町６０９番地１","","36.3542","136.3607","","0761-74-0147","","","","","","","",""
"172065","000068","石川県","加賀市","加賀コミニュティープラザ㈱","カガコミニュティープラザカブシキガイシャ","石川県加賀市作見町ル２５－１","","36.3191","136.3517","アビオシティ加賀内","0761-72-5811","","","","","","","",""
"172065","000069","石川県","加賀市","加賀市水泳プール　エイム","カガシスイエイプール　エイム","石川県加賀市山田町リ２４５－２","","36.3235","136.3305","屋内プール1階監視室","0761-73-2259","","","","","","","",""
"172065","000070","石川県","加賀市","㈱新木プラスチック工業所","カブシキガイシャアラキプラスチックコウギョウジョ","石川県加賀市弓波町ロ５０番地","","36.3251","136.3588","","0761-74-6325","","","","","","","",""
"172065","000071","石川県","加賀市","帝人加工糸㈱加賀工場","テイジンカコウイトカブシキガイシャカガコウジョウ","石川県加賀市動橋町井１０","","36.3271","136.3761","休憩室","090-7589-7930","","","","","","","",""
"172065","000072","石川県","加賀市","オリテック㈱","オリテックカブシキガイシャ","石川県加賀市中島町ト１番地","","36.336472","136.39072","食堂","0761-74-5100","","","","","","","",""
"172065","000073","石川県","加賀市","デイサ花花","デイサハナハナ","石川県加賀市柴山町ち９１","","36.357322","136.373844","","0761-74-2300","","","","","","","",""
"172065","000074","石川県","加賀市","加賀市文化会館","カガシブンカカイカン","石川県加賀市山代温泉北部２丁目６８","","36.2969","136.3581","事務室","0761-77-2811","","","","","","","",""
"172065","000075","石川県","加賀市","山代温泉総場","ヤマシロオンセンソウユ","石川県加賀市山代温泉１８－１２８","","36.2886","136.3613","待合室","0761-76-0144","","","","","","","",""
"172065","000076","石川県","加賀市","山代温泉古総湯","ヤマシロオンセンコソウユ","石川県加賀市山代温泉１８－１２８","","36.288888","136.361432","受付窓口横","0761-76-0144","","","","","","","",""
"172065","000077","石川県","加賀市","山代中学校","ヤマシロチュウガッコウ","石川県加賀市上野町エ４５","","36.2983","136.3731","体育館通路","0761-76-0044","","加賀市","","08:15","16:45","","",""
"172065","000078","石川県","加賀市","庄小学校","ショウショウガッコウ","石川県加賀市庄町ワ９９－１","","36.3129","136.3747","体育館外周囲","0761-74-1199","","加賀市","","08:15","16:45","","",""
"172065","000079","石川県","加賀市","勅使小学校","チョクシショウガッコウ","石川県加賀市勅使町２４－１","","36.3034","136.3891","体育館渡り廊下","0761-76-0709","","加賀市","","08:15","16:45","","",""
"172065","000080","石川県","加賀市","山代小学校","ヤマシロショウガッコウ","石川県加賀市山代温泉山背台２丁目４４－２","","36.2923","136.3582","第1体育館玄関内","0761-76-0146","","加賀市","","08:15","16:45","","",""
"172065","000081","石川県","加賀市","東谷口小学校","ヒガシタニグチショウガッコウ","石川県加賀市水田丸町ヌ３６","","36.2849","136.3901","体育館","0761-76-0805","","加賀市","","08:15","16:45","","",""
"172065","000082","石川県","加賀市","勅使地区会館","チョクシチクカイカン","石川県加賀市勅使町ヌ２４－１","","36.3037","136.3897","会館玄関前","0761-77-4890","","","","","","","",""
"172065","000083","石川県","加賀市","瑠璃光","ルリコウ","石川県加賀市山代温泉９－５８","","36.2945","136.3645","事務所内","0761-77-2323","","","","","","","",""
"172065","000084","石川県","加賀市","雄山閣","ユウザンカク","石川県加賀市山代温泉東山町１６－１","","36.2911","136.3643","","0761-77-1404","","","","","","","",""
"172065","000085","石川県","加賀市","森の栖","モリノスミカ","石川県加賀市山代温泉山林１４－１７","","36.29021","136.365406","","","","","","","","","",""
"172065","000086","石川県","加賀市","葉渡莉","ハトリ","石川県加賀市山代温泉東山町２５","","36.2911","136.3627","","0761-77-8200","","","","","","","",""
"172065","000087","石川県","加賀市","たちばな四季亭","タチバナシキテイ","石川県加賀市山代温泉万松園通１６","","36.2881","136.3607","1階フロント","0761-77-0001","","","","","","","",""
"172065","000088","石川県","加賀市","ホテルききょう","ホテルキキョウ","石川県加賀市山代温泉１６　１６２－５","","36.288969","136.356421","1階フロント","0761-76-1130","","","","","","","",""
"172065","000089","石川県","加賀市","白山菖蒲亭","ハクサンジョウブテイ","石川県加賀市山代温泉桔梗丘４丁目３４－１","","36.284373","136.355516","フロント","0761-77-0335","","","","","","","",""
"172065","000090","石川県","加賀市","㈱エリオ","カブシキガイシャエリオ","石川県加賀市宇谷町ヤ1番地４６","","36.3001","136.3971","本社事務所","0761-76-2700","","","","","","","",""
"172065","000091","石川県","加賀市","㈱エリオ","カブシキガイシャエリオ","石川県加賀市宇谷町ヤ1番地５","","36.2999","136.3958","第二工場玄関","","","","","","","","",""
"172065","000092","石川県","加賀市","ゆのくに天祥","ユノクニテンショウ","石川県加賀市山代温泉１９の４９番地の１","","36.2937","136.3639","フロント横","0761-77-1234","","","","","","","",""
"172065","000093","石川県","加賀市","㈱山下家","カブシキガイシャヤマナカヤ","石川県加賀市山代温泉１８－１２４","","36.2883","136.3618","フロント・露天風呂・カウンター","0761-77-2222;090-6276-9814","","","","","","","",""
"172065","000094","石川県","加賀市","加賀市農業共同組合（南支店）","カガシノウギョウキョウドウクミアイ　ミナミシテン","石川県加賀市上野町子１０３番地","","36.3001","136.3794","南支店","0761-76-0880","","","","","","","",""
"172065","000095","石川県","加賀市","㈱幸栄堂　宇谷野工場","カブシキガイシャコウエイドウ　ウダニノコウジョウ","石川県加賀市宇谷町タ１番地２","","36.3021","136.3958","正面玄関内","0761-76-1611","","","","","","","",""
"172065","000096","石川県","加賀市","㈱幸栄堂　河原工場","カブシキガイシャコウエイドウ　カワラコウジョウ","石川県加賀市河原町ホ２７番地４","","36.3078","136.3845","正面玄関内","0761-76-1611","","","","","","","",""
"172065","000097","石川県","加賀市","薬王園保育園","ヤクオウエンホイクエン","石川県加賀市山代温泉８の１６８の１","","36.2872","136.3615","","0761-76-1642","","","","","","","",""
"172065","000098","石川県","加賀市","新生保育園","シンセイホイクエン","石川県加賀市河南町カ３５番地２","","36.2811","136.3515","","0761-76-1395","","","","","","","",""
"172065","000099","石川県","加賀市","Riopedra加賀","リオペードラカガ","石川県加賀市加茂町ハ４２１","","36.308565","136.365693","総合スポーツ施設 アウパ加賀","0761-75-7511","","","","","","","",""
"172065","000100","石川県","加賀市","河南小学校","カワミナミショウガッコウ","石川県加賀市山中温泉中田町ニ25-1","","36.2699","136.3566","体育館","","","加賀市","","08:15","16:45","","",""
"172065","000101","石川県","加賀市","山中小学校","ヤマナカショウガッコウ","石川県加賀市山中温泉上野町ル15-9","","36.2525","136.3684","体育館入口","090-8260-1092","","加賀市","","08:15","16:45","","",""
"172065","000102","石川県","加賀市","山中中学校","ヤマナカチュウガッコウ","石川県加賀市山中温泉上原町ト甲1-1","","36.2539","136.3648","体育館","0761-78-1134","","加賀市","","08:15","16:45","","",""
"172065","000103","石川県","加賀市","山中座","ヤマナカザ","石川県加賀市山中温泉薬師町ム１","","36.2471","136.3728","事務所内","0761-78-5523","","","","","","","",""
"172065","000104","石川県","加賀市","東谷地区会館","ヒガシタニチクカイカン","石川県加賀市山中温泉中津原町ハ１２４－１","","36.2617","136.3983","","0761-78-0111","","","","","","","",""
"172065","000105","石川県","加賀市","吉祥やまなか","キッショウヤマナカ","石川県加賀市山中温泉東町1丁目ホ14-3","","36.2517","136.3761","フロント","0761-78-5699","","","","","","","",""
"172065","000106","石川県","加賀市","かがり吉祥亭","カガリキッショウテイ","石川県加賀市山中温泉こおろぎ町ニ1-1","","36.2422","136.3715","フロント","0761-78-5699","","","","","","","",""
"172065","000107","石川県","加賀市","河鹿ロイヤルホテル","カジカゾウロイヤルホテル","石川県加賀市山中温泉河鹿町ホ100","","36.2444","136.3751","","0761-78-5550","","","","","","","",""
"172065","000108","石川県","加賀市","湯快リゾート山中温泉花・彩朝楽","ユカイロゾートヤマナカオンセンナハ　サイチョウラク","石川県加賀市山中温泉こおろぎ町イ93","","36.2349","136.3665","","090-4497-0266","","","","","","","",""
"172065","000109","石川県","加賀市","徳性寺","トクショウジ","石川県加賀市山中温泉菅谷町ヘ３０","","36.2293","136.3652","","","","","","","","","",""
"172065","000110","石川県","加賀市","加賀市農業共同組合（山中出張所）","カガシノイウギョウキョウドウクミアイ　ヤマナカシュッチョウジョ","石川県加賀市山中温泉栢野町ハ４７番地１","","36.2261","136.3611","","0761-78-0525","","","","","","","",""
"172065","000111","石川県","加賀市","加賀市農業共同組合（江沼支店）","カガシノイウギョウキョウドウクミアイ　ナガヌマシテン","石川県加賀市山中温泉中田町ニ３２番地２","","36.269537","136.355899","","0761-73-1313","","","","","","","",""
"172065","000112","石川県","加賀市","㈱金津工作所","カブシキガイシャカナズセイサクショ","石川県加賀市山中温泉上原町イ２２－１","","36.2617","136.3618","1階トイレ前","0761-78-0114","","","","","","","",""
"172065","000113","石川県","加賀市","加賀市役所","カガシヤクショ","加賀市大聖寺南町ニ４１","","36.30275","136.3151","","0761-72-1111","","加賀市","","","","","",""
"172065","000114","石川県","加賀市","加賀市消防署","カガシショウボウショ","加賀市弓波町２５７","","36.31948","136.3614","","0761-72-0119","","加賀市","","","","","",""
"172065","000115","石川県","加賀市","大聖寺分署","ダイショウジブンショ","加賀市大聖寺南町ニ４１","","36.30331","136.315143","","0761-73-0119","","加賀市","","","","","",""
"172065","000116","石川県","加賀市","山代分署","ヤマシロブンショ","加賀市山代温泉北部１丁目９４","","36.2946","136.357","","0761-77-0119","","加賀市","","","","","",""
"172065","000117","石川県","加賀市","片山津分署","カタヤマヅブンショ","加賀市源平町５１","","36.353516","136.359604","","0761-74-0119","","加賀市","","","","","",""
"172065","000118","石川県","加賀市","山中分署","ヤマナカブンショ","加賀市山中温泉西桂木町ヌ１７－２","","36.25437","136.3727","","0761-78-0119","","加賀市","","","","","",""
"172065","000119","石川県","加賀市","山中温泉ぬくもり診療所","ヤマナカオンセンヌクモリシンリョウジョ","加賀市山中温泉上野町ル１５－１","","36.253733","136.370181","","0761-78-0301","","加賀市","","","","","",""
"172065","000120","石川県","加賀市","加賀市スポーツセンター","カガシスポーツセンター","加賀市山田町リ２４５－２","","36.32781","136.3302","1階事務室","0761-73-3939","","加賀市","月;火;水;木;金;土;日","09:00","21:30","日曜、祝日は17：00まで12月29日から翌年1月3日まで休業","http://www.city.kaga.ishikawa.jp/kyouikuiinkai/sports/kagashisportcenter.html",""
"172065","000121","石川県","加賀市","加賀体育館","カガタイイクカン","加賀市大聖寺東町２丁目３－１","","36.30375","136.3182","1階事務室","0761-73-2664","","加賀市","月;火;水;木;金;土;日","09:00","21:30","日曜、祝日は17：00まで12月29日から翌年1月3日まで休業","http://www.city.kaga.ishikawa.jp/kyouikuiinkai/sports/kagataiikukan.html",""
"172065","000122","石川県","加賀市","加賀市中央公園野球場","カガシチュウオウコウエンヤキュウジョウ","加賀市山田町リ２４５－２","","36.32594","136.3296","玄関ロビー","0761-73-3939","","加賀市","月;火;水;木;金;土;日","05:00","19:30","10月1日から3月31日までは18：00まで12月29日から翌年1月3日まで休業","http://www.city.kaga.ishikawa.jp/kyouikuiinkai/sports/kagashityuuoukouenyakyuujyou.html",""
"172065","000123","石川県","加賀市","加賀市中央公園テニスコート","カガシチュウオウコウエンテニスコート","加賀市山田町リ２４５－２","","36.32457","136.3316","ロビー（テニスコート入り口前）","0761-73-1220","","加賀市","月;火;水;木;金;土;日","06:00","21:30","10月1日から3月31日までは18：00まで12月29日から翌年1月3日まで休業","http://www.city.kaga.ishikawa.jp/kyouikuiinkai/sports/tyuuoukouenntenniscourt.html",""
"172065","000124","石川県","加賀市","加賀市陸上競技場","カガシリクジョウキョウギジョウ","加賀市山田町リ２４５－２","","36.32706","136.3312","玄関ロビー","0761-73-3939","","加賀市","月;火;水;木;金;土;日","09:00","19:30","10月1日から3月31日までは18：00まで12月29日から翌年1月3日まで休業","http://www.city.kaga.ishikawa.jp/kyouikuiinkai/sports/kagashirikujyoukyougijyou.html",""
"172065","000125","石川県","加賀市","山中健民体育館","ヤマナカケンミンタイイクカン","加賀市山中温泉加美谷台２－２","","36.25517","136.3651","1階ホール","0761-78-5510","","加賀市","月;火;水;木;金;土;日","09:00","21:30","日曜、祝日は17：00まで12月29日から翌年1月3日まで休業","http://www.city.kaga.ishikawa.jp/kyouikuiinkai/sports/yamanakakenmintaiikukan.html",""
"172065","000126","石川県","加賀市","山中弓道場","ヤマナカキュウドウジョウ","加賀市塚谷町ト８７－３","","36.25335","136.3669","1階ホール","0761-78-5510","","加賀市","月;火;水;木;金;土;日","09:00","21:30","12月29日から翌年1月3日まで休業","http://www.city.kaga.ishikawa.jp/kyouikuiinkai/sports/yamanakakyuudoujyou.html",""
"172065","000127","石川県","加賀市","片山津野球場","カタヤマヅヤキュウジョウ","加賀市潮津町ソ１","","36.35029","136.3514","放送室","0761-73-3939","","加賀市","月;火;水;木;金;土;日","05:00","21:30","12月29日から翌年1月3日まで休業","http://www.city.kaga.ishikawa.jp/kyouikuiinkai/sports/katayamazuyakyuujyou.html",""
"172065","000128","石川県","加賀市","大聖寺テニスコート","ダイショウジテニスコート","加賀市大聖寺八間道３０－１","","36.30678","136.3079","クラブハウス用具庫","0761-73-2664","","加賀市","月;火;水;木;金;土;日","05:00","21:30","12月29日から翌年1月3日まで休業","http://www.city.kaga.ishikawa.jp/kyouikuiinkai/sports/kagashidaisyoujitenniscourt.html",""
"172065","000129","石川県","加賀市","動橋グラウンド","イブリハシグラウンド","加賀市動橋町ナ１４－１","","36.32902","136.3809","倉庫","0761-73-3939","","加賀市","月;火;水;木;金;土;日","05:00","21:30","12月29日から翌年1月3日まで休業","http://www.city.kaga.ishikawa.jp/kyouikuiinkai/sports/tamokutekiground.html",""
