"市区町村コード","NO","都道府県名","市区町村名","データ番号","イベント名","イベント名_カナ","イベント名_英語","開始日","終了日","開始時間","終了時間","開始日時特記事項","説明","料金(基本)","料金(詳細)","連絡先名称","連絡先電話番号","主催者","場所名称","住所","方書","緯度","経度","定員","参加申込終了日","参加申込終了時間","参加申込方法","URL","備考"
"172065","000011","石川県","加賀市","000011","山代大田楽","ヤマシロダイデンガク","","2017-07-29","2017-07-30","20:00","21:30","7月下旬の土日","中世日本で大流行して消えた芸能「田楽」を現代に再生した「大田楽」は、華やかでみやびな衣装をまとった田楽法師たちが躍動的な躍りと清冽な笛の旋律、太鼓のリズムで山代温泉の夏の夜を彩ります。","無料","有料席有（全席指定）","山代温泉観光協会","0761-77-1144","山代温泉大田楽実行委員会","服部神社前特設会場","石川県加賀市山代温泉4区18−7","","36.287558","136.3617036","","","","―","http://www.yamashiro-spa.or.jp/daidengaku","雨天時加賀市文化会館大ホール"
"172065","000012","石川県","加賀市","000012","うきうき縁日","ウキウキエンニチ","","2017-08-01","2017-08-16","19:00","21:00","","期間中は毎夜、綿菓子やかき氷、生ビール、射的などの夜店で賑わい、特設会場では多彩なイベントが開催されます。","","","片山津温泉観光協会","0761-74-1123","片山津温泉観光協会","湯の元公園","石川県加賀市片山津温泉乙","","36.3449228","136.3678483","","","","―","http://www.katayamazu-spa.or.jp/sightseeing_new/summer.html#matsuri",""
"172065","000013","石川県","加賀市","000013","おもしろやましろ夏まつり","オモシロヤマシロナツマツリ","","2017-08-05","2017-08-24","20:00","21:30","","「はづちを楽堂」周辺をはじめ、山代温泉街の各所で様々なイベントが開催されます。露店やお楽しみ抽選会など楽しいことが満載です。","無料","","山代温泉観光協会","0761-77-1144","山代温泉観光協会","はづちを楽堂周辺","石川県加賀市山代温泉１８-５９-１","","36.2894028","136.3613146","","","","―","http://www.tabimati.net/event/detail.php?p=475&",""
"172065","000014","石川県","加賀市","000014","山代万灯会","ヤマシロマントウエ","","2017-08-16","2017-08-16","18:30","21:00","毎年同日開催","山代温泉のお盆の伝統行事。薬王院温泉寺の境内がろうそくの灯りでライトアップされ、幻想的な雰囲気に包まれます。","無料","","山代温泉 はづちを楽堂","0761-77-8270","山代温泉そ～ねん会","薬王院温泉寺","石川県加賀市山代温泉１８－４０甲","","36.2880663","136.3615813","","","","はづちを楽堂","http://www.tabimati.net/event/detail.php?p=478&","献灯可能（有料）"
"172065","000015","石川県","加賀市","000015","灯籠流し","トウロウナガシ","","2017-08-16","2017-08-16","20:00","20:50","毎年同日開催","片山津温泉のお盆行事。柴山潟を幾多の燈籠が流れる風景はとても幻想的です。","灯籠1基800円","予約制","愛染寺","0761-74-0169","愛染寺","柴山潟周辺","","","","","","","","","http://www.tabimati.net/event/detail.php?p=477&",""
"172065","000016","石川県","加賀市","000016","湯のまつり","ユノマツリ","","2017-08-19","2017-08-20","","","8月下旬の土日","片山津温泉の開湯を記念する夏祭り。大花火大会、神輿の練り歩き、そのほか多数イベントが催され温泉街が賑わいます。","","","片山津温泉観光協会","0761-74-1123","片山津温泉祭礼委員会","片山津温泉街","","","","","","","","―","http://www.tabimati.net/event/detail.php?p=479&",""
"172065","000017","石川県","加賀市","000017","Yamashiroアートマーケット","ヤマシロアートマーケット","","2017-08-26","2017-08-27","","","1日目、2日目で開催時刻が違う歩行者天国・雨天決行","工芸作品の販売やワークショップ、飲食など、昨年は150以上の出店があった県下最大級のアート＆クラフトイベント。期間中はステージイベントなども開催され、山代温泉街がアートで溢れ賑わいます。","無料","","山代温泉温泉通り商店街振興組合（すだに酒店）","0761-76-1312","山代温泉温泉通り商店街振興組合","山代温泉温泉通り商店街","","","","","","","","―","http://www.tabimati.net/event/detail.php?p=41946&",""
"172065","000018","石川県","加賀市","000018","ぐず焼まつり","グズヤキマツリ","","2017-08-27","2017-08-29","","","毎年同日開催","動橋町のグズ伝説にまつわる祭り。グズとは魚の一種で、かつて稲刈りの頃に巨大グズが村を襲い、それを火で退治したと伝えられている。祭りでは地元の人が竹や藁で作ったグズを担ぎ練り歩き、最終的には神社の境内でそれを焼き払い厄を祓います。そして、その燃え盛る炎を囲みながら振橋節の輪踊りが行われます。","無料","","ぐず焼まつり実行委員会","0761-74-0715","ぐず焼まつり実行委員会","振橋神社","石川県加賀市動橋町ル１８０-１","","36.325823","136.3886352","","","","―","http://www.tabimati.net/event/detail.php?p=480&",""
"172065","000019","石川県","加賀市","000019","八朔まつり","ハッサクマツリ","","2017-09-01","2017-09-01","07:00","21:00","毎年同日開催","山代温泉服部神社の秋祭り。境内では奉納舞された大獅子が町内のあちこちを練り歩き、社殿では平和を祈る浦安の舞を奉納。五穀豊穣を祈願し感謝を奉げます。","無料","","山代温泉観光協会","0761-77-1144","服部神社","服部神社境内他","","","","","","","","―","http://www.yamashiro-spa.or.jp/hassaku",""
"172065","000020","石川県","加賀市","000020","加賀温泉郷寛平ナイトマラソン2017","カガオンセンキョウカンペイナイトマラソンニセンジュウナナ","Kaga Night Run 2017","2017-09-02","2017-09-02","32kmのマラソン　16:00後夜祭　19:00","32kmのマラソン　21:00後夜祭　22:00","","夕暮れから夜にかけての幻想的な山中温泉の大自然を体感することで、非日常を満喫できるマラソン大会。間寛平さんをはじめとしたよしもと芸人たちが、お笑いライブなどにて大会を盛り上げます。","10000円","","加賀温泉郷寛平ナイトマラソン実行員会事務局","0761-72-7922","加賀温泉郷寛平ナイトマラソン実行委員会","事務局加賀市マラソン開催推進室会場山中座広場","事務局加賀市大聖寺南町二４１番地会場石川県加賀市山中温泉薬師町ム1","","36.2470742","136.3725457","1000","2017-07-31","","ランネットhttps://runnet.jp/スポーツエントリーhttps://www.sportsentry.ne.jp/日本旅行http://v3.apollon.nta.co.jp","http://www.kagaonsenkyoukanpeinightmarassthon.com",""
"172065","000021","石川県","加賀市","000021","日本海民謡祭山中節全国コンクール","ニホンカイミンヨウサイヤマナカブシゼンコクコンクール","","2017-09-03","2017-09-03","09:00","17:00","毎年９月第１日曜日","北陸を代表する民謡「山中節」の権威あるコンクールとして、毎年全国から大勢出場され、盛大に開催。","2000円","少年少女の部　無料","（一社）山中温泉観光協会","0761-78-0330","山中節全国コンクール実行委員会","山中温泉文化会館","石川県加賀市山中温泉西桂木町ト５－１","","36.2519127","136.3742897","","","","―","http://www.yamanaka-spa.or.jp/event/120",""
"172065","000022","石川県","加賀市","000022","山中節道中流し","ヤマナカブシドウチュウナガシ","","2017-09-03","2017-09-03","19:30","","毎年９月第１日曜日","三味線演奏家・本條秀太郎氏ほか本條流一門と地元山中温泉の人たちが、三味線と胡弓の情緒溢れる音色とともに初秋の温泉街をしっとりと踊り流します。","無料","観覧無料","山中商工会","0761-78-3366","山中商工会","温泉街一円","","","","","","","","","http://www.tabimati.net/event/detail.php?p=484&",""
"172065","000023","石川県","加賀市","000023","十万石まつり","ジュウマンゴクマツリ","","2017-09-09","2017-09-10","","","毎年大体９月第２土曜、翌日曜","大聖寺藩の旧城下町で開かれる秋祭り。藩祖を慕うと共に、名陶「古九谷」発祥の地として産業の発展と振興を願い、「古九谷大皿みこし」の曳き回しや「万燈みこし」の担ぎ上げが行われます。そのほかメイン会場である広場周辺には露店が並び、輪踊りや花火大会も開催されて賑わいます。","無料","","大聖寺地区会館","0761-72-0463;(祭直前のみ問い合わせ可)","十万石まつり実行委員会","加賀市役所前広場","","","","","","","","―","http://www.tabimati.net/event/detail.php?p=486&",""
"172065","000024","石川県","加賀市","000024","こいこい祭","コイコイマツリ","","2017-09-22","2017-09-23","09:00","22:00","毎年９月下旬の２日間","山中温泉の最大イベント。普段は落ち着いた雰囲気の湯のまちも、この時ばかりは華やかさに溢れます。菊の湯周辺には露店が立ち並び、昼には掛け声も勇ましい「湯女みこし」や「若衆みこし」、「大獅子の巡行」が行われ、初秋の山中が祭り一色に彩られます。","無料","","山中商工会","0761-78-3366","山中温泉こいこい祭実行委員会","山中座周辺他","石川県加賀市山中温泉薬師町ム１","","36.2470742","136.3725457","","","","―","http://www.yamanaka-spa.or.jp/event/123",""
"172065","000025","石川県","加賀市","000025","やましろ湯の曲輪浪漫","ヤマシロユノガワロマン","","2017-10-08","2017-10-08","11:00","16:00","毎年１０月上旬の日曜日","明治の頃の総湯を忠実に復元した「古総湯」の再興を記念して開催。古総湯の周辺にレトロな衣装を身につけた人々が大勢集います。食べ物や飲み物の屋台が並び、音楽会なども催されます。","無料","","はづちを楽堂","0761-77-8270","やましろ湯の曲輪実行委員会","山代温泉古総湯周辺","石川県加賀市山代温泉１８−１２８番地","","36.2888829","136.3614285","","","","―","http://www.tabimati.net/event/detail.php?p=22927&",""
"172065","000026","石川県","加賀市","000026","食と器の祭典食い初めカニまつり","ショクトウツワノサイテン　クイゾメカニマツリ","","2017-11-12","2017-11-12","10:00","14:00","毎年カニ漁解禁日11/6の後の日曜日に開催カニがなくなり次第終了","ズワイガニ漁の解禁を記念して、かに鍋、ゆで蟹即売会、地元の物産等を販売します。","海鮮ｶﾆ鍋1杯400円(500食限定)","","山代温泉観光協会","0761-77-1144","山代温泉商工振興会","山代温泉九谷広場","石川県加賀市山代温泉神明町４−２","","36.2933291","136.3640856","","","","―","http://www.tabimati.net/event/detail.php?p=491&",""
"172065","000027","石川県","加賀市","000027","山中節唄いやんこ","ヤマナカブシウタイヤンコ","","2017-11-26","2017-11-26","09:00","14:00","毎年１１月下旬の日曜日","全国的にも人気の高い山中温泉の民謡、山中節。「山中節唄いやんこ」は町内外から老若男女の愛好家が集まって上手・下手にこだわらずに唄い、また聞くのを楽しむイベントです。","無料","","山中座","0761-78-5523","","山中座","石川県加賀市山中温泉薬師町ム１","","36.2470742","136.3725457","","","","―","http://www.yamanaka-spa.or.jp/event/124",""
"172065","000028","石川県","加賀市","000028","舞初め鑑賞会","マイゾメカンショウカイ","","2018-01-01","2018-01-01","13:00","14:30","毎年元日開催","新春を寿ぐ、山中芸妓と座員の初舞。山紫水明の山中温泉の湯元にある「山中座」の舞台開きです。","前売り2000円当日2300円","","山中座","0761-78-5523","山中温泉芸妓組合","山中座","石川県加賀市山中温泉薬師町ム１","","36.2470742","136.3725457","","","","","http://www.yamanaka-spa.or.jp/event/382",""
"172065","000029","石川県","加賀市","000029","星まつり","ホシマツリ","","2018-01-15","2018-01-15","11:00","約１０分","毎年同日開催","僧侶たちが境内中央で前日からはってある４斗樽の冷水を手桶にすくい「六根清浄」「水行肝文」を唱えながら下帯姿で頭からかぶる荒行を行い五穀豊穣と無病息災を祈願します。 水行のあと参詣の信者たちは樽に残った水を口にして家内安全を願います。","無料","","連光寺","0761-72-1069","連光寺","連光寺","石川県加賀市大聖寺下屋敷町２８甲１","","36.2990717","136.3088724","","","","―","http://www.tabimati.net/event/detail.php?p=496&",""
"172065","000030","石川県","加賀市","000030","御願神事","ゴガンシンジ","","2018-02-10","2018-02-10","11:00","12:00","毎年同日開催","青竹を打ち砕き悪を払う勇壮な神事。白装束の青年たちが境内になだれこみ、青竹を石段や石畳にたたきつけ割りつくします。青竹がほとんど割られた頃に大縄の大蛇を拝殿から引き出し、橋の上から大聖寺川へと投げ込んで、神事はすべて終わります。割られた青竹は、見物人が自由に持ち帰ることができ、これで凧を作ればよく上がり、箸にすれば歯の痛みも止まると伝えられています。","無料","","菅生石部神社","0761-72-0412","菅生石部神社","菅生石部神社","石川県加賀市大聖寺敷地ル乙８１","","36.3130427","136.3208038","","","","―","http://www.tenjin.or.tv/take/wari.htm",""
"172065","000031","石川県","加賀市","000031","涅槃会","ネハンエ","","2018-03-15","2018-03-15","13:30","","毎年同日開催","釈迦様の命日あたる３月１５日に行われます。 法要の後は、仏舎利を表わした五色の団子まきがあります。 この団子を食べると、その年は虫がわかないと伝えられています。","無料","","医王寺","0761-78-1230","医王寺","医王寺","石川県加賀市山中温泉薬師町リ１","","36.2491463","136.3717289","","","","―","http://www.tabimati.net/event/detail.php?p=60641&",""
