"市区町村コード","NO","都道府県名","市区町村名","名称","名称_カナ","医療機関の種類","住所","方書","緯度","経度","電話番号","法人番号","法人の名称","診療曜日","診療開始時間","診療終了時間","診療日時特記事項","時間外における対応","診療科目","病床数","URL","備考"
"172065","000017","石川県","加賀市","林内科医院","ハヤシナイカイイン","","石川県加賀市大聖寺今出町5-3","","36.3044793","136.3050088","0761-73-1110","","","月;火;水;木;金;土","08:45","19:00","土曜日は17時まで診療。日曜、祝日は休診。","","内科;循環器科;呼吸器科;神経内科;消化器科","","",""
"172065","000018","石川県","加賀市","正来医院","マサキイイン","","石川県加賀市大聖寺魚町34","","36.305546","136.3103775","0761-73-3355","","","月;火;水;木;金;土","09:00","18:00","木曜日は午前診療（9時～12時）。土曜日は18：00まで診療。日曜、祝日は休診。","","内科;整形外科;外科;消化器科;リハビリテーション科","","",""
"172065","000019","石川県","加賀市","動橋診療所","イブリハシシンリョウジョ","","石川県加賀市動橋町ロ128","","36.3290836","136.3853634","0761-74-1574","","","月;火;水;木;金;土","09:00","18:30","木曜日は午前診療（9時～12時）。土曜日は16：30まで診療。日曜、祝日は休診。","","内科;呼吸器科;小児科;アレルギー科","","",""
"172065","000020","石川県","加賀市","加賀温泉駅前こころクリニック","カガオンセンエキマエココロクリニック","","石川県加賀市作見町ル25-1　アビオシティ加賀（平和堂）1階","","36.31932","136.352925","0761-72-8765","","","月;火;水;木;金;土","09:30","18:30","火曜、木曜、土曜は午前診療（9時30分～12時30分）。日曜、祝日は休診。","","心療内科;精神科","","http://556929.jp",""
"172065","000021","石川県","加賀市","加賀ぐっすりクリニック","カガグッスリクリニック","","石川県加賀市作見町ニ41-4　お医者村ビル","","36.3192707","136.3560893","0761-72-8155","","","月;火;水;金;土","09:00","17:00","土曜日は午前診療（9時～12時）。木曜、日曜、祝日は休診。","","内科;呼吸器科;耳鼻咽喉科;アレルギー科","","http://www.gussuri.jp/kaga-index.html",""
"172065","000022","石川県","加賀市","加賀たちばな元気クリニック","カガタチバナゲンキクリニック","","石川県加賀市小菅波町1-70　加賀温泉駅前AB-2ビル3階","","36.3187262","136.3499898","0761-72-8159","","","月;火;水;木;金;土","09:00","17:00","月曜、火曜は午前（9時～10時）と午後（12時～1時）診療。水曜、金曜は午後（12時～1時）診療。土曜は、午前（9時～12時）診療。なお月曜から土曜は5時まで往診。木曜午後（12時～）、日曜、祝日は休診。","","内科;呼吸器科;アレルギー科","","",""
"172065","000023","石川県","加賀市","上出医院","カミデイイン","","","","36.327245","136.384661","0761-74-1607","","","","","","","","","","",""
"172065","000024","石川県","加賀市","塩浜医院","シオハマイイン","","石川県加賀市大菅波町ト26番地1","","36.3185424","136.3350246","0761-73-3515","","","月;火;水;木;金;土","08:30","17:30","土曜日は午前診療（8時30分～12時）。日曜、祝日は休診。","","内科;神経内科;麻酔科;リハビリテーション科","","",""
"172065","000025","石川県","加賀市","渋谷医院","シブヤイイン","","石川県加賀市松が丘1丁目7番31","","36.3242004","136.3451541","0761-73-2227","","","月;火;水;木;金;土","09:00","19:00","土曜日は17時まで診療。日曜、祝日は休診。","","内科;外科;整形外科;リハビリテーション科","","",""
"172065","000026","石川県","加賀市","のざきクリニック","ノザキクリニック","","石川県加賀市作見町へ17-1","","36.3180153","136.3558227","0761-72-7002","","","月;火;水;木;金;土","09:00","18:00","水曜日は午前診療（9時～12時30分）。土曜日は16時まで診療。日曜、祝日は休診。","","神経内科;脳神経外科;整形外科","","",""
"172065","000027","石川県","加賀市","箱宮クリニック","ハコミヤクリニック","","石川県加賀市箱宮町タ14-1","","36.3283222","136.4095278","0761-75-8881","","","月;火;水;木;金;土","09:00","18:00","木曜、土曜は午前診療（9時～12時30分）。日曜、祝日は休診。","","内科;循環器科;呼吸器科","","http://www.hakomiya-clinic.com",""
"172065","000028","石川県","加賀市","もり眼科クリニック","モリガンカクリニック","","石川県加賀市作見町ニ41-4　お医者村ビル2F","","36.3192707","136.3560893","0761-76-6111","","","月;火;水;木;金;土","09:00","17:30","火曜日は17時30分まで診療。木曜、土曜は午前診療（9時～12時)。日曜、祝日は休診。","","眼科","","",""
"172065","000029","石川県","加賀市","山岸皮膚科医院","ヤマギシヒフカイイン","","石川県加賀市大菅波町ト26-4","","36.3185804","136.3353214","0761-72-7787","","","月;火;水;木;金;土","08:30","17:00","木曜、土曜は午前診療（8時30分～11時30分）。日曜、祝日は休診。","","皮膚科","","",""
"172065","000030","石川県","加賀市","山下医院","ヤマシタイイン","","石川県加賀市作見町ホ39番地1","","36.3163656","136.3582586","0761-73-1300","","","月;火;水;木;金;土","08:30","18:00","水曜日は院長在席時は午前診療（8時30分～12時）。土曜は15時まで診療。日曜、祝日は休診。","","外科;消化器科;肛門科;麻酔科;循環器科;内科ただし循環器科と内科は副院長担当。そのほかは院長担当。","","",""
"172065","000031","石川県","加賀市","いじり眼科","イジリガンカ","","石川県山代温泉北部4丁目50番地","","36.2951294","136.3619366","0761-75-7175","","","月;火;水;木;金;土","09:00","18:00","木曜日は午前診療（9時～12時）。土曜は14時まで診療。日曜。祝日は休診。","","眼科","","http://www.ijiri-ganka.jp/",""
"172065","000032","石川県","加賀市","板谷医院","イタヤイイン","","石川県加賀市山代温泉35-11-1","","36.3008702","136.3583313","0761-77-2300","","","月;火;水;木;金;土","09:00","18:00","日曜、祝日は休診。","","内科;泌尿器科","","http://www.kagahaku.jp/",""
"172065","000033","石川県","加賀市","刈谷医院","カリヤイイン","","石川県加賀市山代温泉山背台1-68","","36.2920408","136.3590509","0761-77-6116","","","月;火;水;木;金;土","09:00","18:00","木曜日は午前診療（9時～12時30分）。土曜は17時まで診療。日曜。祝日は休診。","","内科;小児科","","",""
"172065","000034","石川県","加賀市","ちょくし町クリニック","チョクシマチクリニック","","石川県加賀市勅使町ハ25-1","","36.30266","136.3936964","0761-77-7827","","","月;火;水;木;金;土","08:30","18:00","水曜、土曜は午前診療（8時30分～12時）。日曜、祝日は休診。","","内科","","",""
"172065","000035","石川県","加賀市","永田医院","ナガタイイン","","石川県加賀市山代温泉北部3丁目45","","36.2958764","136.3598201","0761-77-5500  ","","","月;火;水;木;金;土","09:00","18:00","木曜日は午前診療（9時～12時30分）。土曜は16時まで診療。日曜、祝日は休診。","","外科;消化器科","","",""
"172065","000036","石川県","加賀市","ながたクリニック","ナガタクリニック","","石川県加賀市山代温泉北部3丁目72","","36.2966791","136.359834","0761-77-7373","","","月;火;木;金;土","09:00","18:00","土曜は16時まで診療。水曜、日曜、祝日は休診。","","耳鼻咽喉科（感染症・アレルギー疾患）;頭頚部外科（腫瘍・がん）","","http://www8.plala.or.jp/nagataent/",""
"172065","000037","石川県","加賀市","別所おんせんクリニック","ベッショオンセンクリニック","","石川県加賀市別所町1-42","","36.2724265","136.3603042","0761-76-4577","","","月;火;水;木;金;土","09:00","18:00","木曜日は午前診療（9時～12時）。土曜日は16時まで診療。日曜、祝日は休診。","","整形外科","","",""
"172065","000038","石川県","加賀市","堀内眼科医院","ホリウチガンカイイン","","石川県加賀市山代温泉北部2-71","","36.2969656","136.3592014","0761-77-5200","","","月;火;水;木;金;土","09:00","17:30","木曜日は午前診療（9時～11時30分）。土曜日は15時30分まで診療。日曜、祝日は休診。","","眼科","","",""
"172065","000039","石川県","加賀市","松下内科クリニック","マツシタナイカクリニック","","石川県加賀市山代温泉北部4丁目81-1","","36.2956571","136.3623532","0761-76-0110","","","月;火;水;木;金;土","08:30","18:00","火曜、木曜は午前診療（8時30分～12時30分）。土曜は16時まで診療。日曜、祝日は休診。","","内科;循環器内科;呼吸器内科","","",""
"172065","000040","石川県","加賀市","宮本医院","ミヤモトイイン","","石川県加賀市山代温泉桔梗が丘2-18","","36.287819","136.3570568","0761-77-7070","","","月;火;水;木;金;土","09:00","18:00","水曜日は午前診療（9時～12時）。土曜日は15時まで診療。日曜、祝日は休診。","","内科;循環器内科","","",""
"172065","000041","石川県","加賀市","上田医院","ウエダイイン","","石川県加賀市山中温泉上原町ワ1","","36.2609003","136.3663707","0761-78-5577","","","月;火;水;木;金;土","08:30","18:00","木曜、土曜は午前診療（8時30分～13時）。日曜、祝日は休診。","","内科;循環器科;呼吸器科;消化器科","","",""
"172065","000042","石川県","加賀市","鈴木医院","スズキイイン","","石川県加賀市山中温泉本町1のヤ7","","36.248757","136.374701","0761-78-1116","","","月;火;水;木;金;土","09:00","18:00","水曜、土曜は午前診療（9時～12時）。日曜、祝日は休診。","","循環器科;呼吸器科;内科;消化器科","","",""
"172065","000043","石川県","加賀市","吉田医院","ヨシダイイン","","石川県加賀市山中温泉西桂木町ト4の2","","36.251996","136.3748924","0761-78-0045","","","月;火;水;木;金;土","09:00","18:00","木曜、土曜は午前診療（9時～12時）。日曜、祝日は休診。","","内科;循環器科;呼吸器科;消化器科;アレルギー科","","",""
"172065","000044","石川県","加賀市","石川病院","イシカワビョウイン","","","","36.357498","136.35697","0761-74-0700","","","","","","","","","","",""
"172065","000045","石川県","加賀市","岡部内科医院","オカベナイカイイン","","石川県加賀市湖城町1丁目22","","36.3386322","136.3636906","0761-74-5115","","","月;火;水;木;金;土","09:00","18:00","木曜、土曜は午前診療（9時～12時30分）。日曜、祝日は休診。","","内科;呼吸器科;消化器科","","",""
"172065","000046","石川県","加賀市","片山津温泉　丘の上病院","カタヤマヅオンセン　オカノウエビョウイン","","石川県加賀市富塚町中尾1-3","","36.3348688","136.3611938","0761-74-5575","","","月;火;水;木;金;土","09:00","17:00","日曜、祝日は休診。","","精神科;神経科","","",""
"172065","000047","石川県","加賀市","河村医院","カワムライイン","","石川県加賀市片山津温泉ア9-2","","36.3463671","136.3646987","0761-74-1219","","","月;火;水;木;金;土","09:00","18:00","木曜、土曜は午前診療（9時～12時）。日曜、祝日は休診。","","内科;放射線科","","http://www.myclinic.ne.jp/kawaiin/pc/",""
"172065","000048","石川県","加賀市","近藤医院","コンドウイイン","","石川県加賀市潮津町ユ-9","","36.3493611","136.3614212","0761-74-1231","","","月;火;水;木;金;土","09:00","18:30","水曜日は午前診療（9時～12時）。土曜は16時まで診療。日曜、祝日は休診。","","内科;小児科","","",""
"172065","000049","石川県","加賀市","太陽けんこうクリニック","タイヨウケンコウクリニック","","石川県加賀市深田町55番地1","","36.3419699","136.3028523","0761-75-2500","","","月;火;水;木;土","09:00","17:00","金曜、日曜、祝日は休診。","","外科;内科","","",""
