"市区町村コード","NO","都道府県名","市区町村名","名称","名称_カナ","名称_通称","公共施設小分類コード","住所","方書","緯度","経度","電話番号","法人番号","団体名","利用可能曜日","開始時間","終了時間","利用可能日時特記事項","説明","バリアフリー情報","URL","備考"
"172065","000028","石川県","加賀市","山代児童センター","ヤマシロジドウセンター","山代児童センター","13:幼児・児童施設","石川県加賀市山代温泉ヨ２２番地２","　","36.288981","136.35851","0761-76-2405","2000020172065","加賀市","月;火;水;木;金;土","09:00","18:00","国民の祝日に関する法律に規定する祝日および年末年始（12月29日から翌1月3日）は休館。ただし、こどもの日は開館。","子ども達に健全な遊び場を提供し、すこやかな心と体力を増進し、情操を豊かにすることを目的とした施設","多目的トイレ有り","http://www.city.kaga.ishikawa.jp/kenkoufukushi/jidou/jidousenta-_2.html","　"
"172065","000029","石川県","加賀市","片山津児童センター","カタヤマヅジドウセンター","片山津児童センター","13:幼児・児童施設","石川県加賀市片山津温泉ヒ１９番地１","　","36.345195","136.365417","0761-74-8513","2000020172065","加賀市","月;火;水;木;金;土","09:00","18:00","国民の祝日に関する法律に規定する祝日および年末年始（12月29日から翌1月3日）は休館。ただし、こどもの日は開館。","子ども達に健全な遊び場を提供し、すこやかな心と体力を増進し、情操を豊かにすることを目的とした施設","多目的トイレ有り","http://www.city.kaga.ishikawa.jp/kenkoufukushi/jidou/jidousenta-_2.html","　"
"172065","000030","石川県","加賀市","動橋児童センター","イブリハシジドウセンター","動橋児童センター","13:幼児・児童施設","石川県加賀市動橋町ホ１５番地１","","36.330433","136.389602","0761-74-7234","2000020172065","加賀市","月;火;水;木;金;土","09:00","18:00","国民の祝日に関する法律に規定する祝日および年末年始（12月29日から翌1月3日）は休館。ただし、こどもの日は開館。","子ども達に健全な遊び場を提供し、すこやかな心と体力を増進し、情操を豊かにすることを目的とした施設","多目的トイレ有り","http://www.city.kaga.ishikawa.jp/kenkoufukushi/jidou/jidousenta-_2.html","　"
"172065","000031","石川県","加賀市","作見児童センター","サクミジドウセンター","作見児童センター","13:幼児・児童施設","石川県加賀市松が丘１丁目８番地１","　","36.323312","136.346874","0761-72-8668","2000020172065","加賀市","月;火;水;木;金;土","09:00","18:00","国民の祝日に関する法律に規定する祝日および年末年始（12月29日から翌1月3日）は休館。ただし、こどもの日は開館。","子ども達に健全な遊び場を提供し、すこやかな心と体力を増進し、情操を豊かにすることを目的とした施設","多目的トイレ有り","http://www.city.kaga.ishikawa.jp/kenkoufukushi/jidou/jidousenta-_2.html","　"
"172065","000032","石川県","加賀市","山中児童センター","ヤマナカジドウセンター","山中児童センター","13:幼児・児童施設","石川県加賀市山中温泉西桂木町ト１０番地１","　","36.251513","136.374202","0761-78-3536","2000020172065","加賀市","月;水;木;金;土;日","09:00","18:00","第３日曜日、国民の祝日に関する法律に規定する祝日の翌日および年末年始（12月29日から翌1月3日）は休館。ただし、火曜日、第3日曜日が祝日にあたる時は開館し、休館日はその翌日。","子ども達に健全な遊び場を提供し、すこやかな心と体力を増進し、情操を豊かにすることを目的とした施設","多目的トイレ有り","http://www.city.kaga.ishikawa.jp/kenkoufukushi/jidou/jidousenta-_2.html","　"
"172065","000033","石川県","加賀市","加賀市医療センター","カガシイリョウセンター","加賀市医療センター","18:医療施設","石川県加賀市作見町リ36番地","","36.317338","136.352137","0761-72-1188","","加賀市","月;火;水;木;金","08:30（受付開始）","11:30（受付終了）","祝日、年末年始（12/29～1/3）は休診","病院","施設全体バリアフリー適用","http://www.kagacityhp.jp/",""
"172065","000034","石川県","加賀市","加賀市環境美化センター加賀ごみ処理施設","カガシカンキョウビカセンターカガゴミショリシセツ","加賀市環境美化センター加賀ごみ処理施設","08:供給処理施設","石川県加賀市熊坂町乙7番地1","","36.284571","136.28667","0761-73-5600","2000020172065","加賀市","月;火;木;金;土;日","09:00","16:00","水曜日、祝日、8/15、12/31～1/3、その他5月の定期点検期間は利用不可。","市内で発生した一般廃棄物のうち燃えるごみを焼却処理する施設。市民等の施設見学可","多目的トイレ有り;車椅子用階段昇降機有り;エレベーター有り","http://www.city.kaga.ishikawa.jp/shiminseikatsu/seikatsuanzenka/kagashikankyoubikasenta-.html",""
"172065","000035","石川県","加賀市","加賀市環境美化センターリサイクルプラザ","カガシカンキョウビカセンターリサイクルプラザ","加賀市環境美化センターリサイクルプラザ","08:供給処理施設","石川県加賀市熊坂町乙7番地1","","36.284571","136.28667","0761-73-5600","2000020172065","加賀市","月;火;木;金;土;日","09:00","16:00","水曜日、祝日、8/15、12/31～1/3、その他5月の定期点検期間は利用不可。","市内で発生した一般廃棄物のうち資源ごみや粗大ごみを処理する施設。市民等の施設見学可","多目的トイレ有り;車椅子用階段昇降機有り;エレベーター有り","http://www.city.kaga.ishikawa.jp/shiminseikatsu/seikatsuanzenka/kagashikankyoubikasenta-.html",""
"172065","000036","石川県","加賀市","加賀市環境美化センター廃棄物処分場","カガシカンキョウビカセンターハイキブツショブンジョウ","加賀市環境美化センター廃棄物処分場","08:供給処理施設","石川県加賀市熊坂町戌18番地","","36.272558","136.285897","0761-72-4627","2000020172065","加賀市","月;火;木;金;土;日","09:00","16:00","水曜日、祝日、8/15、12/31～1/3、その他5月の定期点検期間は利用不可。","市内で発生した一般廃棄物を処理した後の残渣等を埋め立てる施設","","http://www.city.kaga.ishikawa.jp/shiminseikatsu/seikatsuanzenka/kagashikankyoubikasenta-.html",""
"172065","000037","石川県","加賀市","加賀市環境美化センターグリーン・シティ山中","カガシカンキョウビカセンターグリーンシティヤマナカ","加賀市環境美化センターグリーン・シティ山中","08:供給処理施設","石川県加賀市山中温泉長谷田町ロ94番地2","","36.250048","136.357587","0761-78-5374","2000020172065","加賀市","月;火;木;金;土;日","09:00","16:00","水曜日、祝日、8/15、12/31～1/3は利用不可。","市内の山中温泉地区で発生した一般廃棄物のうち資源ごみや粗大ごみを処理し、その残渣を埋め立てる施設。市民等の施設見学可","多目的トイレ有り;身障者用駐車場有り","http://www.city.kaga.ishikawa.jp/shiminseikatsu/seikatsuanzenka/guri-nshithiyamanaka.html",""
"172065","000038","石川県","加賀市","いきいきランドかが","イキイキランドカガ","いきいきランドかが","04:レクリエーション施設・観光施設","石川県加賀市熊坂町乙1番地1","","36.286024","136.291586","0761-72-8011","2000020172065","加賀市","月;火;木;金;土;日","10:00","22:00","水曜日、12/29～1/3、その他メンテナンス休館日は利用不可","市民の保養と健康増進、福祉の向上と地域振興を目的とした施設。フィットネス等の運動及び入浴可","多目的トイレ有り;車椅子貸出有り;身障者用駐車場有り","","指定管理者「株式会社エイム」が運営"
"172065","000039","石川県","加賀市","加賀市消防本部","カガシショウボウホンブ","加賀市消防本部","03:消防施設","石川県加賀市弓波町２５７番地","","36.31946","136.361352","0761-72-0119","","加賀市","月;火;水;木;金","08:30","17:15","","","","",""
"172065","000040","石川県","加賀市","加賀市消防署","カガシショウボウショ","加賀市消防署","03:消防施設","石川県加賀市弓波町２５７番地","","36.31946","136.361352","0761-72-0119","","加賀市","月;火;水;木;金;土;日","00:00","00:00","","","","",""
"172065","000041","石川県","加賀市","大聖寺分署","ダイショウジブンショ","大聖寺分署","03:消防施設","石川県加賀市大聖寺ニ４１番地","","36.303434","136.315012","0761-73-0119","","加賀市","月;火;水;木;金;土;日","00:00","00:00","出動及び業務で無人になる可能性あり","","","",""
"172065","000042","石川県","加賀市","片山津分署","カタヤマヅブンショ","片山津分署","03:消防施設","石川県加賀市源平町５１番地","","36.35346","136.359696","0761-74-0119","","加賀市","月;火;水;木;金;土;日","00:00","00:00","出動及び業務で無人になる可能性あり","","","",""
"172065","000043","石川県","加賀市","山代分署","ヤマシロブンショ","山代分署","03:消防施設","石川県加賀市山代温泉北部１丁目９４番地","","36.294585","136.356943","0761-76-0119","","加賀市","月;火;水;木;金;土;日","00:00","00:00","出動及び業務で無人になる可能性あり","","","",""
"172065","000044","石川県","加賀市","山中分署","ヤマナカブンショ","山中分署","03:消防施設","石川県加賀市山中温泉西桂木町ヌ１７番地の２","","36.254362","136.372798","0761-78-0119","","加賀市","月;火;水;木;金;土;日","00:00","00:00","出動及び業務で無人になる可能性あり","","","",""
"172065","000045","石川県","加賀市","大聖寺第１分団格納庫","ダイショウジダイイチブンダンカクノウコ","大聖寺第１分団車庫","03:消防施設","石川県加賀市大聖寺永町３３番地１１","","36.308225","136.319893","0761-72-0119","","加賀市","","","","","","","",""
"172065","000046","石川県","加賀市","大聖寺第２分団格納庫","ダイショウジダイニブンダンカクノウコ","大聖寺第２分団車庫","03:消防施設","石川県加賀市大聖寺南町ロ","","36.304078","136.315533","0761-72-0119","","加賀市","","","","","","","",""
"172065","000047","石川県","加賀市","大聖寺第３分団格納庫","ダイショウジダイサンブンダンカクノウコ","大聖寺第３分団車庫","03:消防施設","石川県加賀市大聖寺下福田町リ１－２","","36.312487","136.300955","0761-72-0119","","加賀市","","","","","","","",""
"172065","000048","石川県","加賀市","橋立分団格納庫","ハシタテブンダンカクノウコ","橋立分団車庫","03:消防施設","石川県加賀市橋立町は６","","36.350438","136.311703","0761-72-0119","","加賀市","","","","","","","",""
"172065","000049","石川県","加賀市","南郷分団格納庫","ナンゴウブンダンカクノウコ","南郷分団車庫","03:消防施設","石川県加賀市上河崎町カ１３８－１","","36.308003","136.339324","0761-72-0119","","加賀市","","","","","","","",""
"172065","000050","石川県","加賀市","三木分団格納庫","ミキブンダンカクノウコ","三木分団車庫","03:消防施設","石川県加賀市三木町ト１５２－１","","36.29411","136.284247","0761-72-0119","","加賀市","","","","","","","",""
"172065","000051","石川県","加賀市","三谷分団格納庫","ミタニブンダンカクノウコ","三谷分団車庫","03:消防施設","石川県加賀市曽宇町へ甲３－１","","36.28484","136.321067","0761-72-0119","","加賀市","","","","","","","",""
"172065","000052","石川県","加賀市","塩屋分団格納庫","シオヤブンダンカクノウコ","塩屋分団車庫","03:消防施設","石川県加賀市塩屋町ハ７－２","","36.294555","136.248238","0761-72-0119","","加賀市","","","","","","","",""
"172065","000053","石川県","加賀市","片山津分団格納庫","カタヤマヅブンダンカクノウコ","片山津分団車庫","03:消防施設","石川県加賀市片山津温泉七１－３２","","36.344248","136.36419","0761-72-0119","","加賀市","","","","","","","",""
"172065","000054","石川県","加賀市","作見分団格納庫","サクミブンダンカクノウコ","作身分団車庫","03:消防施設","石川県加賀市作見町ロ１１０－１","","36.323812","136.356409","0761-72-0119","","加賀市","","","","","","","",""
"172065","000055","石川県","加賀市","金明分団格納庫","キンメイブンダンカクノウコ","金明分団車庫","03:消防施設","石川県加賀市小塩辻町１","","36.340109","136.330858","0761-72-0119","","加賀市","","","","","","","",""
"172065","000056","石川県","加賀市","湖北分団格納庫","コホクブンダンカクノウコ","湖北分団車庫","03:消防施設","石川県加賀市柴山町よ６４-1","","36.36272","136.380048","0761-72-0119","","加賀市","","","","","","","",""
"172065","000057","石川県","加賀市","動橋分団格納庫","イブリハシブンダンカクノウコ","動橋分団車庫","03:消防施設","石川県加賀市動橋町イ１６９","","36.327061","136.386743","0761-72-0119","","加賀市","","","","","","","",""
"172065","000058","石川県","加賀市","分校分団格納庫","ブンギョウブンダンカクノウコ","分校分団車庫","03:消防施設","石川県加賀市分校町ホ１５番２","","36.329068","136.400975","0761-72-0119","","加賀市","","","","","","","",""
"172065","000059","石川県","加賀市","山代第１分団格納庫","ヤマシロダイイチブンダンカクノウコ","山代第１分団車庫","03:消防施設","石川県加賀市山代温泉桔梗丘3丁目４７－２","","36.286315","136.356146","0761-72-0119","","加賀市","","","","","","","",""
"172065","000060","石川県","加賀市","山代第２分団格納庫","ヤマシロダイニブンダンカクノウコ","山代第２分団車庫","03:消防施設","石川県加賀市別所町富士見丘１２－４","","36.276692","136.358485","0761-72-0119","","加賀市","","","","","","","",""
"172065","000061","石川県","加賀市","庄分団格納庫","ショウブンダンカクノウコ","庄分団車庫","03:消防施設","石川県加賀市西島町カ１４８","","36.310791","136.373846","0761-72-0119","","加賀市","","","","","","","",""
"172065","000062","石川県","加賀市","勅使分団格納庫","チョクシブンダンカクノウコ","勅使分団車庫","03:消防施設","石川県加賀市勅使町ル４１の４","","36.30193","136.390655","0761-72-0119","","加賀市","","","","","","","",""
"172065","000063","石川県","加賀市","東谷口分団格納庫","ヒガシタニグチブンダンカクノウコ","東谷口分団書庫","03:消防施設","石川県加賀市水田丸町ト１０８－2","","36.285326","136.390851","0761-72-0119","","加賀市","","","","","","","",""
"172065","000064","石川県","加賀市","山中第1分団格納庫","ヤマナカダイイチブンダンカクノウコ","山中第1分団車庫","03:消防施設","石川県加賀市菅谷町へ６０","","36.229443","136.365787","0761-72-0119","","加賀市","","","","","","","",""
"172065","000065","石川県","加賀市","山中第2分団格納庫","ヤマナカダイニブンダンカクノウコ","山中第2分団車庫","03:消防施設","石川県加賀市山中温泉薬師町ム３０","","36.247414","136.372972","0761-72-0119","","加賀市","","","","","","","",""
"172065","000066","石川県","加賀市","山中第3分団格納庫","ヤマナカダイサンブンダンカクノウコ","山中第3分団車庫","03:消防施設","石川県加賀市山中温泉宮の杜１丁目５","","36.264425","136.355483","0761-72-0119","","加賀市","","","","","","","",""
"172065","000067","石川県","加賀市","山中第4分団格納庫","ヤマナカダイヨンブンダンカクノウコ","山中第4分団車庫","03:消防施設","石川県加賀市山中温泉中津原町ハ５－１","","36.262098","136.397601","0761-72-0119","","加賀市","","","","","","","",""
"172065","000068","石川県","加賀市","錦城小学校","キンジョウショウガッコウ","","16:学校","加賀市大聖寺八間道５７","","36.307700, ","136.308328","0761-72-0269","","加賀市","","","","","","","","学校施設"
"172065","000069","石川県","加賀市","錦城東小学校","キンジョウヒガシショウガッコウ","","16:学校","加賀市大聖寺敷地ワ１３","","36.312137","136.322712","0761-72-3234","","加賀市","","","","","","","","学校施設"
"172065","000070","石川県","加賀市","錦城中学校","キンジョウチュウガッコウ","","16:学校","加賀市大聖寺地方町６乙７４－１","","36.300399","136.303677","0761-72-1515","","加賀市","","","","","","","","学校施設"
"172065","000071","石川県","加賀市","山代小学校","ヤマシロショウガッコウ","","16:学校","加賀市山代温泉山背台２丁目４４－１","","36.291976","136.357743","0761-76-0146","","加賀市","","","","","","","","学校施設"
"172065","000072","石川県","加賀市","山代中学校","ヤマシロチュウガッコウ","","16:学校","加賀市上野町エ４５－２","","36.298004","136.373823","0761-76-0044","","加賀市","","","","","","","","学校施設"
"172065","000073","石川県","加賀市","庄小学校","ショウショウガッコウ","","16:学校","加賀市庄町ワ１０１－１","","36.312798","136.374437","0761-74-1199","","加賀市","","","","","","","","学校施設"
"172065","000074","石川県","加賀市","勅使小学校","チョクシショウガッコウ","","16:学校","加賀市勅使町２４","","36.303368","136.388902","0761-76-0709","","加賀市","","","","","","","","学校施設"
"172065","000075","石川県","加賀市","東谷口小学校","ヒガシタニグチショウガッコウ","","16:学校","加賀市水田丸町ヌ３６－１","","36.284808","136.390195","0761-76-0805","","加賀市","","","","","","","","学校施設"
